#,Owning wine bottles that have superior designs makes me feel good about myself.,I enjoy seeing displays of wine bottles that have superior designs.,The design of a wine bottle is a source of pleasure for me.,Beautiful wine bottle designs make our world a better place to live.,Being able to see subtle difference in wine bottle designs is one skill that I have developed over time.,I see things in the design of a wine bottle that other people tend to pass over.,I have the ability to imagine how a wine bottle will fit in with designs of other things I already own.,I have a pretty good idea of what makes one product look better than its competitors.,Sometimes the way a wine bottle looks seems to reach out and grab me.,"If a wine bottle's design really “speaks” to me, I feel that I must buy it.","When I see a wine bottle that has a really great design, I feel a strong urge to buy it.","In selecting from many types and brands of wine available in the market, would you say that:",Do you think that the various types and brands of wine available in the market are all very alike or are all very different?,How important would it be to you to make a right choice of wine?,"In making your selection of wine, how concerned would you be about the outcome of your choice?",Wine is very important to me.,"For me, wine does matter.",Wine is an important part of my life.,I choose wine very carefully.,Which wine I buy matters to me a lot.,Choosing wine is an important decision to me.,What is your gender?,What is your age?,What is the highest degree or level of school you have completed?,What is your monthly income?,Professional or Employment status,What is your marital status?,Start Date (UTC),Submit Date (UTC),Network ID
1b208b98f62faa5af1aed86a96cd8717,4,4,4,3,4,4,1,3,4,4,4,5,4,4,3,4,1,4,4,4,4,Male,30-42 years old,Master's degree,1500 - 2000 euro,Employed for wages,Married,05-01-16 09:18,05-01-16 09:26,74553a7f0f
cd3275f38e0d27d443ac2eea4132fc5b,5,5,5,4,4,4,3,4,5,4,4,5,5,4,4,5,5,4,4,4,4,Male,18-29 years old,Bachelor's degree,I don't want to answer this question,Out of work but not currently looking for work,Single,05-01-16 10:15,05-01-16 10:18,3a9913bc8b
4567ec86946eb5a409af308c576389c5,2,3,4,1,2,2,2,3,2,2,2,3,3,4,4,3,3,2,4,4,4,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,Single,06-01-16 09:03,06-01-16 09:06,85c8a06ec2
8451142e75a156159420b9906a6f011a,4,3,4,3,4,2,4,3,2,4,3,4,2,4,4,4,2,4,4,4,4,Female,42-53 years old,Master's degree,500 - 1000 euro,Employed for wages,Married,06-01-16 09:40,06-01-16 09:46,23e3ca708f
54fabb110e5d49cf253c35d345cfb540,4,4,4,3,2,2,2,3,4,3,3,4,3,4,4,4,4,2,4,4,4,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,Single,06-01-16 17:34,06-01-16 17:39,fd3e9ef83b
e93f6e8285747ac45198f8225e911640,4,4,3,4,2,1,3,3,4,3,5,4,3,3,2,2,4,3,3,4,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,I don't want to answer this question,I don't want to answer this question,06-01-16 18:49,06-01-16 21:04,a0f8f98504
ad9987ea7310b1f0f966fa5a6e0bd3cf,4,4,5,1,3,4,3,3,5,4,3,4,4,5,4,5,5,5,4,3,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Out of work and looking for work,Single,07-01-16 15:53,07-01-16 15:58,5b596d15e0
eb241a5795edf288a443b98e99bf50e3,4,4,3,1,5,4,3,5,4,4,3,4,4,5,4,3,4,2,4,3,3,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Out of work and looking for work,Single,07-01-16 17:05,07-01-16 17:09,cb1741c899
1ccecdc84ae62905fb1bcdf099769d2a,4,4,4,3,3,3,2,3,3,3,3,3,5,3,3,3,2,3,4,3,3,Male,30-42 years old,Doctorate degree,2000 euro or more,Self-employed,Married,07-01-16 17:34,07-01-16 17:38,4f695e9ce2
5fe5cb6f6c9102f4506b9db0c75c2313,3,3,4,4,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,Male,under 18 years ,"High school graduate, diploma or the equivalent",0 - 250 euro,I don't want to answer this question,I don't want to answer this question,09-01-16 08:31,09-01-16 08:32,19f3998739
94ad1f5fc49c7d7be663c63d6abe8bf5,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,Male,42-53 years old,Master's degree,500 - 1000 euro,Employed for wages,Married,09-01-16 09:13,09-01-16 09:18,d2ca1a6a37
11e96d7f4856a6344a6c3506b685306d,3,3,3,4,3,4,1,5,5,5,3,5,5,4,5,5,1,5,5,5,3,Male,30-42 years old,Professional degree,2000 euro or more,Self-employed,I don't want to answer this question,09-01-16 09:46,09-01-16 09:50,47226759f2
ef8d1ab312159737c4b8df626618d5f2,4,3,2,2,2,2,1,3,3,1,1,2,3,3,3,2,3,1,2,3,1,Male,30-42 years old,Master's degree,500 - 1000 euro,Employed for wages,Married,09-01-16 10:27,09-01-16 10:28,47226759f2
601b4a33d865efc0a07996f2dcc8a3ab,3,5,5,1,3,4,2,4,5,4,4,4,4,4,4,4,4,3,4,4,4,Female,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,I don't want to answer this question,09-01-16 16:03,09-01-16 16:09,1b50fef0ed
ab7ec4af0063a5d7a3d2847f8e008c71,4,4,3,2,2,2,2,4,4,4,2,4,2,4,4,2,2,2,2,2,2,Female,42-53 years old,Master's degree,2000 euro or more,Employed for wages,Married,11-01-16 11:53,11-01-16 12:01,7609739c3e
83d02a811a8475c3982d047bcf0d7f8a,4,4,5,3,3,3,4,4,5,4,4,5,2,,4,4,1,3,4,4,4,Male,42-53 years old,Master's degree,2000 euro or more,Employed for wages,Married,11-01-16 12:35,11-01-16 12:42,aa0e61453f
92055835d887ac001782b7674ab5f52e,4,4,3,2,4,4,3,4,4,2,2,3,3,3,2,3,4,2,3,3,3,Female,30-42 years old,Master's degree,1500 - 2000 euro,Employed for wages,Single,12-01-16 16:26,12-01-16 16:29,fd3e9ef83b
54cf2a00eeafe0cb7188a28205b0c4af,4,3,4,2,4,5,4,3,4,5,3,2,4,3,4,4,4,2,2,4,3,Male,30-42 years old,"High school graduate, diploma or the equivalent",500 - 1000 euro,Out of work and looking for work,Single,12-01-16 17:05,12-01-16 17:42,fd3e9ef83b
f4dc17d8df4385bce02436827dcf9858,4,5,4,2,4,4,3,4,4,2,3,4,5,4,4,3,4,3,4,3,4,Male,18-29 years old,Master's degree,500 - 1000 euro,Employed for wages,Single,13-01-16 10:16,13-01-16 10:24,e6a6c2d5ca
4c6b713b41748d678a8f306b090e2f78,3,5,3,3,5,4,3,3,4,2,3,4,2,3,4,4,4,2,4,3,3,Male,30-42 years old,Master's degree,1500 - 2000 euro,Self-employed,Married,13-01-16 12:51,13-01-16 12:55,03e7b9820d
d854537523cf34bc4d409d32da28cefb,4,4,4,3,2,3,4,4,4,4,4,4,4,3,4,5,5,5,3,3,3,Female,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Out of work but not currently looking for work,Single,14-01-16 08:55,14-01-16 08:58,5d1406b55f
b35f9cfcd530a71852887764f8c5a695,4,2,2,2,3,3,4,4,4,,4,3,1,5,3,5,5,5,3,2,3,Female,18-29 years old, I don't want to answer this question,I don't want to answer this question,Out of work but not currently looking for work,Single,14-01-16 08:55,14-01-16 09:00,5d1406b55f
3d5ea0a37204b29a71feeb34beedac2a,4,4,3,2,2,1,3,3,5,4,4,4,3,4,4,4,4,3,3,3,3,Female,18-29 years old,"Some high school, no diploma",500 - 1000 euro,I don't want to answer this question,Single,14-01-16 08:56,14-01-16 09:01,5d1406b55f
2a0155a2f6253fc742695490e3673b1c,3,4,3,3,4,3,3,4,4,4,4,4,3,5,3,2,3,2,2,3,2,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,I don't want to answer this question,14-01-16 10:50,14-01-16 10:55,5d1406b55f
0cb021c212fafec616a341d5c3e43918,4,5,4,4,2,3,2,4,4,3,5,4,4,5,3,4,4,3,4,4,4,Female,18-29 years old,Bachelor's degree,500 - 1000 euro,I don't want to answer this question,Single,17-01-16 23:49,18-01-16 00:48,e60513883c
86d286df4da362d5bc1f33de63950c04,4,4,4,2,5,5,3,4,3,4,4,5,2,4,5,3,4,3,4,5,4,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Out of work and looking for work,Single,19-01-16 09:20,19-01-16 09:23,79f450d78b
5d68014a775dc712c7a928dfa8bd83e9,4,5,4,3,4,3,2,3,4,2,4,4,5,3,3,4,4,3,5,4,4,Male,18-29 years old,Bachelor's degree,250 - 500 euro,Employed for wages,Single,24-01-16 23:43,24-01-16 23:45,b58b8d97f2
2beee687388e2501c81953b65d80380b,4,5,4,3,3,5,3,5,4,4,4,4,3,4,3,3,4,2,3,3,2,Female,18-29 years old,"High school graduate, diploma or the equivalent",1000 - 1500 euro,Out of work but not currently looking for work,I don't want to answer this question,25-01-16 11:14,25-01-16 11:18,51a7b7497d
f24889a0c6b69936358fb5fd5273156f,5,3,5,3,5,4,3,5,5,3,4,4,4,5,5,4,5,4,5,4,4,Male,30-42 years old,Master's degree,500 - 1000 euro,Self-employed,Single,30-01-16 11:01,30-01-16 11:06,fd3e9ef83b
de59075958c97d71d33a48fdf71e1d84,3,2,4,3,2,3,4,3,2,4,5,3,4,2,2,3,2,3,4,4,3,Male,18-29 years old,Bachelor's degree,0 - 250 euro,Out of work and looking for work,Single,31-01-16 10:19,31-01-16 10:21,9bc086c3b8
